id,provinsi,klasifikasi_wilayah,jenis_kelamin,usia,pendidikan_terakhir,status_pekerjaan,status_pernikahan,jumlah_tanggungan,pendapatan_bulanan,total_pengeluaran,pengeluaran_makanan_pokok,pengeluaran_lauk_pauk,pengeluaran_sayur_buah,pengeluaran_jajan_makan_luar,pengeluaran_rokok_tembakau,pengeluaran_perumahan_listrik,pengeluaran_pakaian,pengeluaran_kesehatan,pengeluaran_pendidikan,pengeluaran_transportasi,pengeluaran_komunikasi,pengeluaran_hiburan_rekreasi,cicilan_hutang,tabungan_bulanan,rasio_tabungan_persen,skor_literasi_keuangan
291,Banten,Perkotaan,Laki-laki,43.0,SMA/SMK,Wiraswasta,Menikah,1.0,6350000.0,5352000,309000.0,449000.0,185000.0,299000.0,79000.0,1007000.0,217000.0,283000.0,459000.0,657000.0,254000.0,245000.0,0.0,998000.0,15.7,
1193,Jawa Barat,Perkotaan,Laki-laki,18.0,SMA/SMK,Pelajar/Mahasiswa,Menikah,2.0,,1077000,135000.0,226000.0,87000.0,128000.0,76000.0,145000.0,35000.0,,53000.0,57000.0,30000.0,17000.0,186000.0,173000.0,13.8,60.0
619,DKI Jakarta,Perkotaan,Laki-laki,25.0,SMP,Karyawan Swasta,Belum Menikah,0.0,4100000.0,2825000,294000.0,366000.0,233000.0,351000.0,126000.0,322000.0,137000.0,117000.0,0.0,189000.0,118000.0,131000.0,730000.0,1275000.0,31.1,41.5
298,Sumatera Utara,Perdesaan,Laki-laki,30.0,Pascasarjana (S2/S3),Karyawan Swasta,Belum Menikah,0.0,,2682000,265000.0,362000.0,131000.0,,46000.0,357000.0,101000.0,96000.0,0.0,293000.0,108000.0,73000.0,0.0,318000.0,10.6,70.9
1740,Banten,Perkotaan,Perempuan,50.0,SD,Wiraswasta,Belum Menikah,0.0,3200000.0,2296000,195000.0,294000.0,105000.0,,52000.0,295000.0,,158000.0,0.0,225000.0,83000.0,111000.0,212000.0,904000.0,28.2,67.8
1085,DKI Jakarta,Perdesaan,Laki-laki,39.0,Diploma,PNS/ASN,Belum Menikah,0.0,3800000.0,3220000,342000.0,452000.0,154000.0,303000.0,95000.0,475000.0,103000.0,179000.0,0.0,222000.0,135000.0,84000.0,0.0,580000.0,15.3,64.3
411,Jawa Tengah,Perdesaan,Laki-laki,44.0,Diploma,Buruh/Pekerja Harian,Menikah,2.0,3400000.0,2607000,292000.0,394000.0,177000.0,194000.0,129000.0,286000.0,122000.0,144000.0,203000.0,147000.0,112000.0,,0.0,793000.0,,59.3
1684,DKI Jakarta,Perkotaan,Perempuan,46.0,SMA/SMK,,Belum Menikah,0.0,7200000.0,6072000,688000.0,593000.0,254000.0,374000.0,149000.0,906000.0,318000.0,224000.0,0.0,416000.0,275000.0,,1206000.0,1128000.0,15.7,25.4
586,DI Yogyakarta,Perkotaan,Laki-laki,40.0,Tidak Sekolah,Karyawan Swasta,Belum Menikah,0.0,2100000.0,1381000,195000.0,197000.0,131000.0,216000.0,20000.0,,33000.0,73000.0,0.0,97000.0,33000.0,34000.0,0.0,,34.2,41.9
1179,Jawa Barat,Perdesaan,Laki-laki,18.0,SMA/SMK,Buruh/Pekerja Harian,Belum Menikah,0.0,1200000.0,792000,129000.0,140000.0,63000.0,112000.0,57000.0,87000.0,27000.0,27000.0,0.0,28000.0,18000.0,26000.0,236000.0,408000.0,34.0,46.9
1037,DKI Jakarta,Perkotaan,Laki-laki,28.0,SMA/SMK,Wiraswasta,Cerai/Janda/Duda,1.0,5150000.0,3644000,413000.0,396000.0,209000.0,320000.0,118000.0,724000.0,209000.0,132000.0,163000.0,389000.0,,132000.0,620000.0,1506000.0,,58.6
1839,Jawa Tengah,Perdesaan,Laki-laki,45.0,SMA/SMK,Pelajar/Mahasiswa,Menikah,4.0,1100000.0,927000,141000.0,186000.0,77000.0,104000.0,25000.0,89000.0,23000.0,32000.0,53000.0,46000.0,25000.0,34000.0,0.0,173000.0,15.7,42.0
904,Jawa Barat,Perdesaan,Laki-laki,23.0,SMP,Karyawan Swasta,Menikah,3.0,1650000.0,1428000,,192000.0,86000.0,196000.0,53000.0,191000.0,43000.0,50000.0,100000.0,84000.0,65000.0,48000.0,,222000.0,13.5,39.9
368,DKI Jakarta,Perdesaan,Laki-laki,17.0,SMA/SMK,Karyawan Swasta,Belum Menikah,0.0,2300000.0,1618000,211000.0,223000.0,129000.0,221000.0,11000.0,210000.0,,71000.0,0.0,98000.0,59000.0,51000.0,253000.0,682000.0,29.6,46.8
832,Sumatera Utara,Perkotaan,Perempuan,36.0,Sarjana (S1),Buruh/Pekerja Harian,Belum Menikah,0.0,4300000.0,3643000,320000.0,462000.0,188000.0,452000.0,157000.0,656000.0,205000.0,157000.0,0.0,402000.0,140000.0,,16000.0,657000.0,,78.5
248,Jawa Timur,Perkotaan,Laki-laki,30.0,SD,Karyawan Swasta,Cerai/Janda/Duda,1.0,2200000.0,1856000,214000.0,254000.0,101000.0,221000.0,17000.0,231000.0,74000.0,,76000.0,166000.0,84000.0,89000.0,0.0,344000.0,15.6,44.1
1914,Jawa Tengah,Perkotaan,Laki-laki,60.0,SMP,Karyawan Swasta,Menikah,2.0,1700000.0,1225000,190000.0,181000.0,108000.0,154000.0,,119000.0,37000.0,54000.0,66000.0,65000.0,35000.0,,,475000.0,27.9,56.4
1281,Jawa Timur,Perkotaan,Laki-laki,67.0,SMP,Tidak Bekerja,Menikah,2.0,950000.0,632000,112000.0,110000.0,59000.0,94000.0,,68000.0,14000.0,17000.0,25000.0,44000.0,17000.0,11000.0,,,33.4,
136,Banten,Perkotaan,Perempuan,22.0,SMA/SMK,Buruh/Pekerja Harian,,1.0,5700000.0,4941000,671000.0,688000.0,,477000.0,42000.0,764000.0,171000.0,306000.0,290000.0,426000.0,181000.0,,0.0,759000.0,13.3,67.9
1971,DKI Jakarta,Perdesaan,Perempuan,17.0,SMA/SMK,Wiraswasta,Menikah,3.0,7300000.0,6443000,659000.0,734000.0,384000.0,622000.0,65000.0,1092000.0,239000.0,447000.0,325000.0,714000.0,272000.0,330000.0,0.0,857000.0,11.7,44.7
241,Jawa Timur,Perkotaan,Perempuan,36.0,SMA/SMK,Karyawan Swasta,Belum Menikah,0.0,5200000.0,3426000,352000.0,413000.0,142000.0,353000.0,24000.0,525000.0,134000.0,163000.0,0.0,269000.0,160000.0,125000.0,58000.0,1774000.0,34.1,51.3
580,Sumatera Selatan,Perkotaan,Laki-laki,24.0,,Karyawan Swasta,Belum Menikah,0.0,4500000.0,3401000,309000.0,,188000.0,380000.0,90000.0,604000.0,185000.0,222000.0,0.0,298000.0,147000.0,94000.0,412000.0,1099000.0,24.4,48.3
1753,Jawa Barat,Perkotaan,Laki-laki,19.0,SMP,Karyawan Swasta,Menikah,1.0,3600000.0,2554000,281000.0,293000.0,,331000.0,117000.0,454000.0,98000.0,83000.0,85000.0,223000.0,127000.0,129000.0,0.0,1046000.0,29.0,
1718,Jawa Barat,Perdesaan,Laki-laki,24.0,SD,PNS/ASN,Menikah,1.0,2350000.0,1848000,252000.0,230000.0,,203000.0,98000.0,264000.0,53000.0,72000.0,105000.0,98000.0,,,0.0,502000.0,21.4,55.5
850,DKI Jakarta,Perdesaan,Perempuan,56.0,SMA/SMK,Tidak Bekerja,,4.0,650000.0,454000,73000.0,,39000.0,46000.0,16000.0,37000.0,15000.0,18000.0,25000.0,20000.0,13000.0,12000.0,82000.0,196000.0,,53.0
290,DKI Jakarta,Perdesaan,Laki-laki,49.0,SMA/SMK,Wiraswasta,Belum Menikah,0.0,6500000.0,4333000,,429000.0,196000.0,237000.0,10000.0,932000.0,241000.0,,0.0,418000.0,187000.0,236000.0,228000.0,2167000.0,33.3,69.0
307,Jawa Tengah,Perdesaan,Laki-laki,43.0,SD,Karyawan Swasta,Menikah,1.0,650000.0,450000,75000.0,95000.0,48000.0,64000.0,32000.0,41000.0,10000.0,8000.0,14000.0,26000.0,12000.0,13000.0,0.0,,,52.7
1654,Nusa Tenggara Barat,Perdesaan,Perempuan,31.0,SMA/SMK,Buruh/Pekerja Harian,Belum Menikah,0.0,1150000.0,871000,128000.0,,77000.0,139000.0,45000.0,113000.0,29000.0,26000.0,0.0,55000.0,25000.0,36000.0,36000.0,279000.0,24.3,61.6
842,Jawa Barat,Perdesaan,Laki-laki,51.0,SMA/SMK,Karyawan Swasta,Cerai/Janda/Duda,2.0,2250000.0,1928000,187000.0,303000.0,159000.0,228000.0,23000.0,259000.0,75000.0,94000.0,119000.0,159000.0,69000.0,94000.0,0.0,322000.0,14.3,41.1
940,Kalimantan Timur,Perdesaan,Perempuan,32.0,Diploma,PNS/ASN,Belum Menikah,0.0,4600000.0,3650000,327000.0,550000.0,,275000.0,188000.0,639000.0,151000.0,191000.0,0.0,228000.0,160000.0,72000.0,508000.0,950000.0,20.7,63.9
966,Jawa Tengah,Perkotaan,Perempuan,46.0,SD,Wiraswasta,Menikah,1.0,10950000.0,7812000,647000.0,867000.0,504000.0,516000.0,334000.0,1532000.0,455000.0,281000.0,399000.0,528000.0,,,0.0,,28.7,52.6
1103,DI Yogyakarta,Perkotaan,Laki-laki,26.0,Tidak Sekolah,Tidak Bekerja,Belum Menikah,0.0,500000.0,337000,48000.0,66000.0,21000.0,31000.0,10000.0,42000.0,10000.0,10000.0,0.0,21000.0,10000.0,14000.0,0.0,163000.0,32.7,52.9
343,DKI Jakarta,Perdesaan,Perempuan,17.0,SD,,Menikah,1.0,2000000.0,1367000,,197000.0,73000.0,119000.0,,252000.0,68000.0,48000.0,61000.0,89000.0,55000.0,23000.0,,633000.0,31.7,46.5
308,Sumatera Selatan,Perkotaan,Laki-laki,22.0,,PNS/ASN,Belum Menikah,0.0,4250000.0,2990000,215000.0,334000.0,134000.0,316000.0,25000.0,484000.0,130000.0,97000.0,0.0,353000.0,99000.0,184000.0,455000.0,,,
671,Jawa Tengah,Perkotaan,Perempuan,42.0,Diploma,,Menikah,2.0,7350000.0,5129000,452000.0,602000.0,248000.0,422000.0,117000.0,1036000.0,,238000.0,236000.0,445000.0,239000.0,259000.0,,2221000.0,,55.9
1304,Nusa Tenggara Barat,Perkotaan,Perempuan,36.0,Sarjana (S1),Wiraswasta,Menikah,2.0,13550000.0,12046000,802000.0,1039000.0,313000.0,870000.0,45000.0,2756000.0,633000.0,874000.0,1009000.0,1040000.0,677000.0,442000.0,2000000.0,1504000.0,11.1,69.5
675,Jawa Barat,Perkotaan,Perempuan,46.0,SMP,Tidak Bekerja,Belum Menikah,0.0,2150000.0,1959000,296000.0,379000.0,165000.0,198000.0,27000.0,218000.0,44000.0,85000.0,0.0,111000.0,79000.0,48000.0,0.0,191000.0,8.9,56.0
1492,DKI Jakarta,Perdesaan,Laki-laki,53.0,Diploma,Buruh/Pekerja Harian,Menikah,2.0,2050000.0,1866000,205000.0,211000.0,85000.0,162000.0,1000.0,263000.0,55000.0,54000.0,120000.0,196000.0,72000.0,91000.0,0.0,184000.0,9.0,49.9
1955,Kalimantan Timur,Perkotaan,Perempuan,31.0,Diploma,,Belum Menikah,0.0,13600000.0,9393000,,978000.0,357000.0,618000.0,347000.0,1499000.0,561000.0,,0.0,887000.0,567000.0,202000.0,0.0,4207000.0,30.9,65.0
410,Jawa Barat,Perkotaan,Laki-laki,42.0,SMP,Karyawan Swasta,Menikah,1.0,,6858000,412000.0,511000.0,322000.0,400000.0,193000.0,1281000.0,351000.0,416000.0,587000.0,616000.0,271000.0,333000.0,0.0,3542000.0,34.1,54.1
508,Kalimantan Timur,Perdesaan,Perempuan,39.0,SMA/SMK,Karyawan Swasta,Belum Menikah,0.0,2550000.0,1867000,213000.0,263000.0,97000.0,,73000.0,271000.0,70000.0,,0.0,176000.0,69000.0,72000.0,428000.0,683000.0,26.8,46.4
283,Jawa Tengah,Perkotaan,Perempuan,19.0,SMP,Wiraswasta,Belum Menikah,0.0,4100000.0,3291000,,486000.0,,413000.0,42000.0,413000.0,122000.0,212000.0,0.0,370000.0,175000.0,71000.0,347000.0,809000.0,19.7,44.4
1624,DKI Jakarta,Perkotaan,Perempuan,34.0,SMA/SMK,Buruh/Pekerja Harian,Belum Menikah,0.0,3100000.0,2370000,225000.0,,113000.0,280000.0,43000.0,338000.0,97000.0,98000.0,,222000.0,121000.0,45000.0,80000.0,730000.0,23.5,35.0
101,Sulawesi Selatan,Perkotaan,Laki-laki,56.0,SD,Buruh/Pekerja Harian,Belum Menikah,0.0,2700000.0,2355000,358000.0,390000.0,181000.0,219000.0,119000.0,259000.0,81000.0,75000.0,0.0,122000.0,88000.0,36000.0,171000.0,345000.0,12.8,44.7
1569,DI Yogyakarta,Perkotaan,Laki-laki,45.0,SMA/SMK,Pelajar/Mahasiswa,Menikah,3.0,2100000.0,1570000,,209000.0,132000.0,219000.0,68000.0,229000.0,73000.0,73000.0,42000.0,124000.0,66000.0,40000.0,,580000.0,27.0,67.0
1068,Sulawesi Selatan,Perkotaan,Laki-laki,30.0,SMA/SMK,Tidak Bekerja,Belum Menikah,0.0,700000.0,567000,103000.0,115000.0,50000.0,71000.0,28000.0,60000.0,12000.0,19000.0,,20000.0,17000.0,9000.0,0.0,133000.0,19.0,62.0
1940,Sulawesi Selatan,Perkotaan,Perempuan,26.0,SMA/SMK,Karyawan Swasta,Menikah,2.0,4150000.0,3146000,300000.0,343000.0,215000.0,282000.0,89000.0,522000.0,146000.0,,209000.0,236000.0,144000.0,,359000.0,1004000.0,24.2,34.6
1506,Sumatera Selatan,Perkotaan,Laki-laki,60.0,SMA/SMK,,Cerai/Janda/Duda,0.0,4650000.0,4248000,451000.0,525000.0,261000.0,526000.0,175000.0,556000.0,223000.0,269000.0,0.0,417000.0,204000.0,150000.0,686000.0,402000.0,8.7,42.3
924,DI Yogyakarta,Perkotaan,Perempuan,50.0,SMP,Wiraswasta,Menikah,2.0,6250000.0,4458000,475000.0,505000.0,218000.0,277000.0,102000.0,643000.0,204000.0,225000.0,349000.0,341000.0,261000.0,151000.0,0.0,1792000.0,28.7,38.8
1445,DI Yogyakarta,Perdesaan,Perempuan,27.0,SMA/SMK,Pelajar/Mahasiswa,Belum Menikah,0.0,700000.0,515000,83000.0,85000.0,36000.0,75000.0,,48000.0,15000.0,,0.0,,12000.0,12000.0,58000.0,185000.0,26.5,38.6
369,Banten,Perkotaan,Perempuan,26.0,Sarjana (S1),PNS/ASN,Menikah,3.0,14400000.0,12086000,771000.0,941000.0,416000.0,871000.0,93000.0,1746000.0,748000.0,541000.0,,1079000.0,602000.0,552000.0,0.0,2314000.0,16.1,55.5
1387,Jawa Timur,Perkotaan,Laki-laki,42.0,SMA/SMK,Wiraswasta,Menikah,3.0,9500000.0,6947000,453000.0,519000.0,195000.0,340000.0,187000.0,1414000.0,337000.0,464000.0,,680000.0,368000.0,173000.0,677000.0,,26.9,
169,Kalimantan Timur,Perdesaan,Laki-laki,40.0,SMA/SMK,Pelajar/Mahasiswa,Menikah,2.0,500000.0,453000,,106000.0,,83000.0,,33000.0,11000.0,14000.0,13000.0,16000.0,12000.0,14000.0,0.0,47000.0,9.3,49.2
1828,Jawa Barat,Perdesaan,Perempuan,41.0,SD,Buruh/Pekerja Harian,Menikah,1.0,1250000.0,1094000,137000.0,223000.0,109000.0,171000.0,21000.0,,32000.0,,36000.0,81000.0,23000.0,34000.0,162000.0,156000.0,12.5,21.6
234,Sumatera Selatan,Perdesaan,Laki-laki,42.0,Sarjana (S1),Karyawan Swasta,Belum Menikah,0.0,,5466000,561000.0,482000.0,211000.0,288000.0,129000.0,1213000.0,297000.0,384000.0,0.0,362000.0,275000.0,222000.0,0.0,2884000.0,34.5,78.9
1629,Banten,Perkotaan,Perempuan,46.0,SMA/SMK,Wiraswasta,Menikah,1.0,4700000.0,3814000,354000.0,497000.0,285000.0,337000.0,99000.0,576000.0,171000.0,236000.0,142000.0,,150000.0,107000.0,8000.0,886000.0,,62.0
1672,Jawa Tengah,Perdesaan,Laki-laki,45.0,SMA/SMK,PNS/ASN,Menikah,1.0,2050000.0,1671000,280000.0,268000.0,125000.0,244000.0,66000.0,203000.0,57000.0,66000.0,92000.0,,71000.0,70000.0,0.0,379000.0,18.5,44.2
1264,Bali,Perdesaan,Perempuan,35.0,SD,Karyawan Swasta,Belum Menikah,0.0,,917000,121000.0,195000.0,69000.0,164000.0,26000.0,79000.0,16000.0,38000.0,0.0,51000.0,23000.0,12000.0,65000.0,233000.0,20.3,40.9
1651,Sumatera Selatan,Perkotaan,Perempuan,54.0,Sarjana (S1),PNS/ASN,Menikah,3.0,6600000.0,5521000,378000.0,545000.0,302000.0,410000.0,194000.0,1192000.0,342000.0,217000.0,273000.0,378000.0,364000.0,171000.0,0.0,1079000.0,16.3,64.3
591,DKI Jakarta,Perkotaan,Perempuan,31.0,SMA/SMK,PNS/ASN,Menikah,1.0,9150000.0,8366000,577000.0,775000.0,333000.0,521000.0,127000.0,1802000.0,534000.0,358000.0,582000.0,914000.0,425000.0,337000.0,0.0,784000.0,8.6,27.4
1404,Sumatera Utara,Perkotaan,Perempuan,28.0,SMA/SMK,Wiraswasta,Belum Menikah,0.0,8750000.0,6320000,,617000.0,245000.0,,196000.0,1084000.0,400000.0,,0.0,,348000.0,176000.0,1471000.0,,27.8,
536,Jawa Timur,Perkotaan,Perempuan,34.0,Diploma,Wiraswasta,Belum Menikah,0.0,13050000.0,10485000,822000.0,955000.0,480000.0,823000.0,329000.0,1973000.0,593000.0,797000.0,0.0,1284000.0,755000.0,234000.0,0.0,2565000.0,19.7,68.9
1338,Sumatera Utara,Perdesaan,Laki-laki,30.0,SD,Tidak Bekerja,Menikah,2.0,700000.0,579000,82000.0,107000.0,34000.0,79000.0,22000.0,81000.0,21000.0,28000.0,,35000.0,14000.0,18000.0,10000.0,121000.0,,39.3
495,Jawa Tengah,Perkotaan,Perempuan,37.0,SD,Buruh/Pekerja Harian,Menikah,,1950000.0,1539000,236000.0,270000.0,125000.0,145000.0,84000.0,238000.0,40000.0,59000.0,53000.0,123000.0,60000.0,28000.0,71000.0,411000.0,21.1,42.2
112,Jawa Barat,Perdesaan,Perempuan,32.0,,Wiraswasta,Menikah,3.0,2850000.0,2581000,423000.0,427000.0,237000.0,324000.0,87000.0,258000.0,89000.0,71000.0,93000.0,208000.0,68000.0,39000.0,0.0,269000.0,9.4,36.7
304,DI Yogyakarta,Perkotaan,Perempuan,47.0,SD,PNS/ASN,Belum Menikah,0.0,2550000.0,2272000,282000.0,399000.0,137000.0,268000.0,110000.0,296000.0,80000.0,,0.0,136000.0,55000.0,79000.0,361000.0,278000.0,10.9,55.3
97,Jawa Timur,Perkotaan,Laki-laki,38.0,Sarjana (S1),Karyawan Swasta,Menikah,1.0,12350000.0,8947000,950000.0,1137000.0,370000.0,725000.0,389000.0,1538000.0,526000.0,515000.0,494000.0,726000.0,340000.0,470000.0,0.0,3403000.0,27.6,44.1
1026,Sulawesi Selatan,Perdesaan,Perempuan,17.0,SMA/SMK,Wiraswasta,Menikah,0.0,2400000.0,2074000,233000.0,317000.0,117000.0,181000.0,29000.0,326000.0,101000.0,91000.0,0.0,154000.0,110000.0,43000.0,0.0,326000.0,13.6,49.9
944,Jawa Tengah,Perkotaan,Perempuan,17.0,SD,Wiraswasta,Menikah,1.0,4450000.0,3695000,427000.0,529000.0,,428000.0,0.0,607000.0,132000.0,123000.0,224000.0,379000.0,153000.0,167000.0,0.0,755000.0,17.0,65.1
841,Jawa Timur,Perdesaan,Perempuan,46.0,SD,Karyawan Swasta,Belum Menikah,0.0,2250000.0,1559000,203000.0,193000.0,125000.0,168000.0,20000.0,235000.0,52000.0,102000.0,0.0,,44000.0,82000.0,37000.0,691000.0,30.7,53.7
276,Jawa Tengah,Perdesaan,Laki-laki,55.0,SMA/SMK,Wiraswasta,Menikah,3.0,5850000.0,5276000,465000.0,630000.0,198000.0,352000.0,114000.0,1103000.0,,383000.0,327000.0,496000.0,,287000.0,0.0,574000.0,9.8,38.5
1129,Bali,Perkotaan,Laki-laki,20.0,SMA/SMK,Karyawan Swasta,Belum Menikah,0.0,4000000.0,3338000,373000.0,427000.0,148000.0,304000.0,5000.0,504000.0,184000.0,167000.0,0.0,235000.0,147000.0,90000.0,0.0,662000.0,16.5,31.5
212,Jawa Barat,Perkotaan,Perempuan,33.0,SMA/SMK,PNS/ASN,Menikah,4.0,,6756000,504000.0,767000.0,254000.0,578000.0,214000.0,1006000.0,400000.0,226000.0,583000.0,634000.0,264000.0,171000.0,121000.0,1544000.0,18.6,44.4
300,Jawa Tengah,Perkotaan,Laki-laki,27.0,SMA/SMK,Wiraswasta,Belum Menikah,0.0,,5312000,287000.0,459000.0,222000.0,364000.0,119000.0,1179000.0,290000.0,373000.0,0.0,408000.0,318000.0,332000.0,551000.0,2388000.0,31.0,37.3
1819,Jawa Barat,Perdesaan,Perempuan,38.0,Diploma,Buruh/Pekerja Harian,Menikah,3.0,1800000.0,1454000,201000.0,190000.0,80000.0,123000.0,17000.0,161000.0,68000.0,80000.0,49000.0,127000.0,61000.0,37000.0,0.0,346000.0,19.2,67.8
1035,Jawa Barat,Perdesaan,Perempuan,17.0,Sarjana (S1),Buruh/Pekerja Harian,Belum Menikah,0.0,2250000.0,1913000,299000.0,282000.0,186000.0,179000.0,75000.0,262000.0,62000.0,73000.0,0.0,166000.0,72000.0,57000.0,0.0,337000.0,15.0,61.5
809,Sumatera Utara,Perdesaan,Perempuan,52.0,SMA/SMK,Wiraswasta,Menikah,0.0,,1790000,190000.0,297000.0,132000.0,193000.0,85000.0,246000.0,72000.0,46000.0,,125000.0,52000.0,72000.0,0.0,460000.0,20.5,49.0
234,Sumatera Selatan,Perdesaan,Laki-laki,42.0,Sarjana (S1),Karyawan Swasta,Belum Menikah,0.0,8350000.0,5466000,561000.0,482000.0,211000.0,288000.0,129000.0,,297000.0,384000.0,0.0,362000.0,275000.0,,0.0,2884000.0,34.5,78.9
1568,Sumatera Selatan,Perdesaan,Laki-laki,39.0,SMA/SMK,Karyawan Swasta,Cerai/Janda/Duda,3.0,1950000.0,1497000,177000.0,,80000.0,230000.0,39000.0,246000.0,63000.0,51000.0,52000.0,145000.0,64000.0,34000.0,0.0,453000.0,23.2,70.0
922,Jawa Barat,Perkotaan,Laki-laki,31.0,SD,PNS/ASN,,3.0,2800000.0,2394000,370000.0,456000.0,216000.0,279000.0,130000.0,296000.0,69000.0,76000.0,78000.0,123000.0,64000.0,37000.0,521000.0,406000.0,14.5,26.4
451,Kalimantan Timur,Perkotaan,Laki-laki,32.0,Sarjana (S1),Karyawan Swasta,Belum Menikah,0.0,12950000.0,8768000,783000.0,789000.0,385000.0,464000.0,98000.0,1879000.0,341000.0,565000.0,0.0,1136000.0,498000.0,514000.0,0.0,,32.3,75.0
441,DKI Jakarta,Perkotaan,Laki-laki,,SMA/SMK,Karyawan Swasta,Menikah,1.0,9450000.0,6273000,470000.0,420000.0,249000.0,255000.0,21000.0,1294000.0,343000.0,546000.0,677000.0,833000.0,375000.0,290000.0,0.0,3177000.0,33.6,59.3
